year_month,avg_price_m2_million,transaction_count
2022-02,61.3208,1
2022-03,70.4187,6
2022-04,124.199,3
2022-05,93.2442,33
2022-06,99.5222,24
2022-07,95.4467,45
2022-08,97.536,41
2022-09,87.4163,47
2022-10,99.6671,97
2022-11,95.9109,43
2022-12,89.0701,64
2023-01,93.6998,27
2023-02,88.9574,45
2023-03,89.8061,64
2023-04,95.1566,55
2023-05,94.2414,93
2023-06,93.4065,138
2023-07,101.979,108
2023-08,105.2828,59
2023-09,95.9457,88
2023-10,88.7396,173
2023-11,99.115,112
2023-12,90.7781,107
2024-01,93.0035,140
2024-02,88.7795,88
2024-03,97.6858,195
2024-04,103.8778,167
2024-05,105.3178,142
2024-06,104.4619,204
2024-07,101.5936,176
2024-08,105.4435,162
2024-09,105.6809,146
2024-10,109.6801,177
2024-11,101.4392,189
2024-12,104.3921,202
2025-01,106.882,75
2025-02,106.6094,89
2025-03,102.0008,154
2025-04,108.2556,208
2025-05,109.6274,176
2025-06,109.3558,191
2025-07,109.9026,219
2025-08,122.0035,170
2025-09,115.6269,175
2025-10,109.7039,152
2025-11,85.9055,48
2025-12,104.0232,53
