year_month,interest_rate,gold_price_sjc,vn_index
2022-01,4.0,61.5,1478.96
2022-02,4.0,63.5,1490.13
2022-03,4.0,69.0,1492.15
2022-04,4.0,69.8,1366.8
2022-05,4.0,69.2,1292.68
2022-06,4.0,68.7,1197.6
2022-07,4.0,65.5,1206.33
2022-08,4.0,66.8,1280.51
2022-09,5.0,66.5,1132.11
2022-10,6.0,66.9,1027.94
2022-11,6.0,67.1,1048.42
2022-12,6.0,66.8,1007.09
2023-01,6.0,67.5,1111.18
2023-02,6.0,67.2,1024.68
2023-03,6.0,66.8,1064.64
2023-04,5.5,67.0,1049.12
2023-05,5.0,67.1,1075.17
2023-06,4.5,67.0,1120.18
2023-07,4.5,67.2,1222.9
2023-08,4.5,67.4,1224.05
2023-09,4.5,68.8,1154.15
2023-10,4.5,70.5,1028.19
2023-11,4.5,71.0,1094.13
2023-12,4.5,75.5,1129.93
2024-01,4.5,75.5,1164.31
2024-02,4.5,77.8,1252.73
2024-03,4.5,80.5,1248.11
2024-04,4.5,83.0,1209.52
2024-05,4.5,89.5,1261.72
2024-06,4.5,76.5,1245.28
2024-07,4.5,78.5,1251.51
2024-08,4.5,80.0,1283.87
2024-09,4.5,82.5,1287.94
2024-10,4.5,86.5,1264.48
2024-11,4.5,85.5,1250.46
2024-12,4.5,84.5,1266.78
2025-01,4.5,83.5,1265.05
2025-02,4.5,89.5,1305.36
2025-03,4.5,96.5,1306.86
2025-04,4.5,117.0,1226.3
2025-05,4.5,120.0,1314.46
2025-06,4.5,118.5,1376.07
2025-07,4.5,120.3,1502.52
2025-08,4.5,123.8,1682.21
2025-09,4.5,135.8,1661.7
2025-10,4.5,144.0,1690.0
2025-11,4.5,152.5,1690.99
2025-12,4.5,155.6,1784.49
