year_month,avg_price_m2_million,transaction_count,registration_count,interest_rate,gold_price_sjc,vn_index
2022-02,61.3208,1,,4.0,63.5,1490.13
2022-03,70.4187,6,,4.0,69.0,1492.15
2022-04,124.199,3,,4.0,69.8,1366.8
2022-05,93.2442,33,,4.0,69.2,1292.68
2022-06,99.5222,24,,4.0,68.7,1197.6
2022-07,95.4467,45,,4.0,65.5,1206.33
2022-08,97.536,41,,4.0,66.8,1280.51
2022-09,87.4163,47,,5.0,66.5,1132.11
2022-10,99.6671,97,,6.0,66.9,1027.94
2022-11,95.9109,43,,6.0,67.1,1048.42
2022-12,89.0701,64,,6.0,66.8,1007.09
2023-01,93.6998,27,,6.0,67.5,1111.18
2023-02,88.9574,45,,6.0,67.2,1024.68
2023-03,89.8061,64,,6.0,66.8,1064.64
2023-04,95.1566,55,,5.5,67.0,1049.12
2023-05,94.2414,93,,5.0,67.1,1075.17
2023-06,93.4065,138,,4.5,67.0,1120.18
2023-07,101.979,108,,4.5,67.2,1222.9
2023-08,105.2828,59,,4.5,67.4,1224.05
2023-09,95.9457,88,,4.5,68.8,1154.15
2023-10,88.7396,173,,4.5,70.5,1028.19
2023-11,99.115,112,,4.5,71.0,1094.13
2023-12,90.7781,107,,4.5,75.5,1129.93
2024-01,93.0035,140,1163.0,4.5,75.5,1164.31
2024-02,88.7795,88,564.0,4.5,77.8,1252.73
2024-03,97.6858,195,1295.0,4.5,80.5,1248.11
2024-04,103.8778,167,1538.0,4.5,83.0,1209.52
2024-05,105.3178,142,1641.0,4.5,89.5,1261.72
2024-06,104.4619,204,1423.0,4.5,76.5,1245.28
2024-07,101.5936,176,1526.0,4.5,78.5,1251.51
2024-08,105.4435,162,1018.0,4.5,80.0,1283.87
2024-09,105.6809,146,690.0,4.5,82.5,1287.94
2024-10,109.6801,177,948.0,4.5,86.5,1264.48
2024-11,101.4392,189,1115.0,4.5,85.5,1250.46
2024-12,104.3921,202,1152.0,4.5,84.5,1266.78
2025-01,106.882,75,1019.0,4.5,83.5,1265.05
2025-02,106.6094,89,877.0,4.5,89.5,1305.36
2025-03,102.0008,154,2297.0,4.5,96.5,1306.86
2025-04,108.2556,208,2803.0,4.5,117.0,1226.3
2025-05,109.6274,176,2491.0,4.5,120.0,1314.46
2025-06,109.3558,191,2498.0,4.5,118.5,1376.07
2025-07,109.9026,219,,4.5,120.3,1502.52
2025-08,122.0035,170,,4.5,123.8,1682.21
2025-09,115.6269,175,,4.5,135.8,1661.7
2025-10,109.7039,152,,4.5,144.0,1690.0
2025-11,85.9055,48,,4.5,152.5,1690.99
2025-12,104.0232,53,,4.5,155.6,1784.49
