date,actual_million,predicted_million,lower_million,upper_million
2025-03-01,102.0008,98.7266,91.0340,106.8371
2025-04-01,108.2556,119.0079,111.0513,126.9721
2025-05-01,109.6274,111.2611,102.8978,119.6081
2025-06-01,109.3558,112.5578,103.8876,120.9996
2025-07-01,109.9026,110.9362,102.9421,119.2174
2025-08-01,122.0035,114.0068,105.7732,122.0364
2025-09-01,115.6269,109.5295,100.6861,117.2545
2025-10-01,109.7039,113.8022,105.8413,122.2497
2025-11-01,85.9055,109.1884,100.2973,117.0463
2025-12-01,104.0232,107.5933,99.0055,115.6152
